frame,timestamp,fps,pose_confidence,LEFT_SHOULDER,RIGHT_SHOULDER,LEFT_ELBOW,RIGHT_ELBOW,LEFT_HIP,RIGHT_HIP,LEFT_KNEE,RIGHT_KNEE
0,0.0,24.0,0.9859988763928413,38.726367764343095,58.892399078458176,125.58623359651638,126.45578774617034,151.16264057234812,170.43830516993813,134.54019707524196,136.33576429659934
1,0.041666666666666664,24.0,0.9862974534432093,47.42482305890755,59.71799044793912,129.86053075805518,125.09888812605402,150.1095185213232,177.70638097470024,130.1446000546806,138.73371027215924
2,0.08333333333333333,24.0,0.9864302153388659,46.34340113648582,60.14943889804719,132.0411470567038,125.71747256243229,152.6427535588543,177.12259977860998,132.1908156724762,141.35094037719313
3,0.125,24.0,0.9866084481279055,43.279398818140756,60.00707403176588,129.89972439598506,124.59645755359371,157.8085646850909,174.97934294611227,138.3568398323049,144.6434349652959
4,0.16666666666666666,24.0,0.9863901237646738,12.846244050711837,64.61869100834926,108.85980538257131,133.67859818591828,162.76996960338343,175.62711203024688,137.4381962146953,144.18426401417733
5,0.20833333333333334,24.0,0.9865238592028618,11.536175715233698,62.28387135261817,107.0031699246485,133.34356093726376,160.21946364528725,174.10164057758712,133.7823926497234,134.67004870160562
6,0.25,24.0,0.986427736779054,10.292321249428639,64.56248394127127,107.25781485021761,136.96734469016454,161.75711801652943,169.27759135924495,134.8724808988329,132.216140574421
7,0.2916666666666667,24.0,0.9862296928962072,10.27191070930802,65.18543547507795,107.23068919659366,138.70456519158407,167.46969730414725,166.90320640441115,143.21711666377055,133.13801913161635
8,0.3333333333333333,24.0,0.9858452454209328,9.241889383674422,64.40445217515727,107.98997994215283,136.80710550674132,170.44300238133422,158.26695592263607,144.95643440561116,126.9110483785848
9,0.375,24.0,0.9858782763282458,9.946397896125902,63.67069726766261,107.67042814615708,136.2561426011786,173.0519105849113,156.92092201799602,147.52908051430268,126.19905596560169
10,0.4166666666666667,24.0,0.9860226288437843,13.58238521979348,60.10362285975861,116.96189330750532,132.1578044619661,175.69984448657615,158.92135176389155,149.49774576877235,127.14346956429573
11,0.4583333333333333,24.0,0.9862291341026624,11.865868517270922,60.75079487148341,116.26499536373866,135.91636320380275,175.9605196770848,154.90246188838321,155.0708204449467,124.15986485911945
12,0.5,24.0,0.9860640416542689,9.515618025433051,62.818323782468276,112.05366983694421,140.03648625588056,176.794081091826,160.0567743257563,154.63305337799548,128.6160227600879
13,0.5416666666666666,24.0,0.986182726919651,9.704744466593592,65.54371324269928,115.96708764968419,146.8137437240098,174.35429126133633,160.3814655450115,155.29757935294637,128.57481739259057
14,0.5833333333333334,24.0,0.9862100531657537,13.28201218089299,72.03537python [live_compare.py](http://_vscodecontentref_/2) --canonical [Dance1.csv](http://_vscodecontentref_/3) --countdown 5934931363,114.20623154855122,156.0760047086527,173.38926415783504,161.29167358861918,155.7289559907953,130.00097904767708
15,0.625,24.0,0.9854939803481102,17.883921870684407,76.77162221580333,109.72612115856082,160.91369102825385,174.73323021591514,164.81686699464788,150.51229430436038,128.16027482165774
16,0.6666666666666666,24.0,0.985047476987044,18.061078503266916,78.62408876352076,107.36274155448187,162.34412340405174,174.60137317910485,165.21878678842586,150.7341779001068,125.698445223384
17,0.7083333333333334,24.0,0.9839223076899847,34.46970759494901,80.88803887610845,106.66091141771184,165.6894608861622,172.9384775118072,176.90492961360977,149.78945348553768,136.31222043357528
18,0.75,24.0,0.9836089263359705,37.4679122693852,87.59173131728234,112.04093724235436,163.78982557622885,170.04491797708587,171.1252216238542,147.5785842826867,136.44158309944783
19,0.7916666666666666,24.0,0.9823276475071907,44.455339036859876,92.33962159256542,117.07551212184545,161.71153712392345,169.20819145138046,175.2856181781937,145.32451790706125,142.29999117053552
20,0.8333333333333334,24.0,0.9812982901930809,41.99475532931651,91.14566080041696,114.1991067122321,161.52612794550305,169.1287378365642,174.43791576035534,144.58373666437006,141.46280854424506
21,0.875,24.0,0.9794944549600283,41.34187662974772,96.01685276137802,117.57410084421294,161.36937770975072,167.7015048978184,169.72614357425195,145.98597186580943,142.05796231638294
22,0.9166666666666666,24.0,0.9777046342690786,40.196622456831136,95.27541938396611,117.44265058714807,158.60467932414667,163.9912771508295,168.90549243858112,143.6226556119217,138.0387877444113
23,0.9583333333333334,24.0,0.9765938197573026,35.70321282718793,96.143752635152,110.23274421589527,158.1770713119647,161.6334857818641,167.74445090336172,139.7300006522111,134.5993395553661
24,1.0,24.0,0.9756406918168068,34.8702059617309,97.41950212635346,106.56047966907516,158.42927139638118,157.56687087067834,161.29155252652228,135.18613712880915,127.82602848308166
25,1.0416666666666667,24.0,0.9745367914438248,38.8448339995425,102.08148329178705,115.21090175397386,158.3949851200752,153.4518700763319,157.73173088206659,131.8897070099244,127.25508972026718
26,1.0833333333333333,24.0,0.9741889908909798,36.8682522758614,100.53636586931778,107.06340770022638,157.58085475288408,151.5209035250735,157.3655730220932,128.7462424951085,123.50600112059465
27,1.125,24.0,0.9733394756913185,37.675176155457116,102.06762523269292,110.94854472737046,157.68109858915886,152.8231838668313,157.8366972663145,130.76321220328418,124.32172276583506
28,1.1666666666666667,24.0,0.9732491796215376,37.41091170797892,105.17379541762885,112.94915063891254,157.74059541923253,152.5818543950658,156.5432143721987,130.88179996111413,123.24012018243266
29,1.2083333333333333,24.0,0.9724142675598463,37.20475126710277,105.09676910094622,109.25869918508901,158.19834795494214,152.70598388900922,160.50761728505537,128.2941718011566,123.71831644388979
